"year","city","race","cnt_stops","perc_stops","cnt_pop","perc_pop","cnt_positive","perc_positive"
2008,"Queens","Black",44746,38.5,172,18.4,5241,4.5
2008,"Queens","Hispanic",44256,38.1,254,26.7,4456,3.8
2008,"Queens","Native American",938,0.8,338,0.4,91,0.1
2008,"Queens","White",13729,11.8,277,30.8,1644,1.4
2008,"Queens","Other",2388,2.1,165,1.8,275,0.2
2009,"Bronx","Asian",691,0.7,218,3.5,119,0.1
2009,"Bronx","Black",45072,47,189,31.3,5112,5.3
2009,"Bronx","Hispanic",42041,43.9,286,52,5585,5.8
2009,"Bronx","Native American",258,0.3,103,0.2,39,0
2009,"Bronx","White",3094,3.2,44,12.3,476,0.5
2009,"Bronx","Other",4708,4.9,6,0.7,480,0.5
2009,"Brooklyn","Asian",2898,1.4,102,9.7,408,0.2
2009,"Brooklyn","Black",140617,68,331,33,16840,8.1
2009,"Brooklyn","Hispanic",41836,20.2,224,19.6,5346,2.6
2009,"Brooklyn","Native American",587,0.3,99,0.1,73,0
2009,"Brooklyn","White",16702,8.1,354,37.4,2130,1
2009,"Brooklyn","Other",4010,1.9,295,0.2,449,0.2
2009,"Manhattan","Asian",2214,1.9,43,10.5,346,0.3
2009,"Manhattan","Black",61667,53.6,90,13.3,8929,7.8
2009,"Manhattan","Hispanic",38824,33.8,152,23.8,6673,5.8
2009,"Manhattan","Native American",252,0.2,21,0.1,43,0
2009,"Manhattan","White",9472,8.2,330,51.9,1601,1.4
2009,"Manhattan","Other",2582,2.2,273,0.4,351,0.3
2009,"Queens","Asian",10650,8.1,232,22.3,1283,1
2009,"Queens","Black",50257,38.4,166,18,6277,4.8
2009,"Queens","Hispanic",50870,38.9,258,26.9,5455,4.2
2009,"Queens","Native American",1084,0.8,318,0.4,117,0.1
2009,"Queens","White",15210,11.6,281,30.8,1793,1.4
2009,"Queens","Other",2726,2.1,144,1.6,298,0.2
2010,"Bronx","Asian",820,0.7,207,3.4,147,0.1
2010,"Bronx","Black",53987,48.3,184,31.2,7795,7
2010,"Bronx","Hispanic",48226,43.1,291,53.6,7314,6.5
2010,"Bronx","Native American",274,0.2,107,0.2,30,0
2010,"Bronx","White",3303,3,31,11.2,595,0.5
2010,"Bronx","Other",5201,4.7,244,0.4,612,0.5
2010,"Brooklyn","Asian",3487,1.8,105,10.7,485,0.3
2010,"Brooklyn","Black",129397,66.7,321,32.7,15922,8.2
2010,"Brooklyn","Hispanic",41103,21.2,222,19.9,5623,2.9
2010,"Brooklyn","Native American",495,0.3,175,0.2,67,0
2010,"Brooklyn","White",16650,8.6,343,36.2,2331,1.2
2010,"Brooklyn","Other",2814,1.5,289,0.3,340,0.2
2010,"Manhattan","Asian",2515,2.1,55,11.5,510,0.4
2010,"Manhattan","Black",64453,53.2,84,13.2,10800,8.9
2010,"Manhattan","Hispanic",39022,32.2,157,25.6,7931,6.5
2010,"Manhattan","Native American",329,0.3,89,0.1,58,0
2010,"Manhattan","White",11377,9.4,302,49.2,2351,1.9
2010,"Manhattan","Other",3412,2.8,253,0.4,583,0.5
2010,"Queens","Asian",12566,8.8,237,23.9,1803,1.3
2010,"Queens","Black",55821,39.1,158,18.1,7819,5.5
2010,"Queens","Hispanic",55060,38.5,257,27.6,6288,4.4
2010,"Queens","Native American",1391,1,192,0.2,137,0.1
2010,"Queens","White",14748,10.3,264,28.2,1862,1.3
2010,"Queens","Other",3324,2.3,186,2,383,0.3
2011,"Bronx","Asian",1125,0.8,212,3.5,116,0.1
2011,"Bronx","Black",64232,47.7,176,30.6,7229,5.4
2011,"Bronx","Hispanic",60636,45,292,53.8,7143,5.3
2011,"Bronx","Native American",340,0.3,151,0.3,39,0
2011,"Bronx","White",4090,3,34,11.3,630,0.5
2011,"Bronx","Other",4187,3.1,340,0.5,420,0.3
2011,"Brooklyn","Asian",4652,2.1,106,10.8,581,0.3
2011,"Brooklyn","Black",143307,63.2,323,32.6,15515,6.8
2011,"Brooklyn","Hispanic",53370,23.5,227,20,6253,2.8
2011,"Brooklyn","Native American",778,0.3,216,0.2,94,0
2011,"Brooklyn","White",19460,8.6,346,36.1,2609,1.2
2011,"Brooklyn","Other",5125,2.3,328,0.3,590,0.3
2011,"Manhattan","Asian",3152,2.3,54,11.3,543,0.4
2011,"Manhattan","Black",71875,51.4,88,13.4,10337,7.4
2011,"Manhattan","Hispanic",46956,33.6,162,25.6,6512,4.7
2011,"Manhattan","Native American",418,0.3,92,0.1,62,0
2011,"Manhattan","White",13553,9.7,303,49,2411,1.7
2011,"Manhattan","Other",3935,2.8,341,0.6,438,0.3
2011,"Queens","Asian",14595,9.7,238,23.8,1636,1.1
2011,"Queens","Black",61167,40.5,163,18.3,7130,4.7
2011,"Queens","Hispanic",56763,37.6,262,27.8,6751,4.5
2011,"Queens","Native American",1244,0.8,215,0.2,134,0.1
2011,"Queens","White",14265,9.4,266,28.2,1900,1.3
2011,"Queens","Other",3015,2,147,1.7,281,0.2
2012,"Bronx","Asian",839,0.8,233,3.7,119,0.1
2012,"Bronx","Black",49559,48.9,180,30.3,6073,6
2012,"Bronx","Hispanic",44907,44.3,296,54.3,6209,6.1
2012,"Bronx","Native American",324,0.3,82,0.1,50,0
2012,"Bronx","White",3349,3.3,29,10.8,449,0.4
2012,"Bronx","Other",2306,2.3,9,0.8,211,0.2
2012,"Brooklyn","Asian",3724,2,114,11.1,424,0.2
2012,"Brooklyn","Black",121730,64.9,325,32.3,9891,5.3
2012,"Brooklyn","Hispanic",39958,21.3,228,19.8,3999,2.1
2012,"Brooklyn","Native American",592,0.3,137,0.1,82,0
2012,"Brooklyn","White",18192,9.7,348,36.3,1966,1
2012,"Brooklyn","Other",3425,1.8,314,0.4,235,0.1
2012,"Manhattan","Asian",2488,2.3,57,11.6,440,0.4
2012,"Manhattan","Black",57134,52.2,91,13.4,7647,7
2012,"Manhattan","Hispanic",36274,33.1,168,25.8,4988,4.6
2012,"Manhattan","Native American",327,0.3,42,0.1,38,0
2012,"Manhattan","White",10763,9.8,306,48.6,1900,1.7
2012,"Manhattan","Other",2551,2.3,299,0.5,270,0.2
2012,"Queens","Asian",9692,8.8,242,24.3,1336,1.2
2012,"Queens","Black",47590,43.3,159,17.9,6158,5.6
2012,"Queens","Hispanic",39692,36.1,267,27.9,4788,4.4
2012,"Queens","Native American",939,0.9,243,0.2,130,0.1
2012,"Queens","White",10738,9.8,260,27.4,1426,1.3
2012,"Queens","Other",1378,1.3,221,2.3,156,0.1
2013,"Bronx","Asian",227,0.9,236,3.7,33,0.1
2013,"Bronx","Black",13129,52.1,181,30.2,1836,7.3
2013,"Bronx","Hispanic",10404,41.3,298,54.6,1728,6.9
2013,"Bronx","Native American",75,0.3,136,0.2,13,0.1
2013,"Bronx","White",923,3.7,28,10.6,145,0.6
2013,"Bronx","Other",450,1.8,336,0.7,46,0.2
2013,"Brooklyn","Asian",1877,2.6,118,11.5,220,0.3
2013,"Brooklyn","Black",45299,62.9,324,31.9,4152,5.8
2013,"Brooklyn","Hispanic",15070,20.9,229,19.6,1646,2.3
2013,"Brooklyn","Native American",249,0.3,246,0.2,27,0
2013,"Brooklyn","White",8416,11.7,349,36.3,937,1.3
2013,"Brooklyn","Other",1056,1.5,14,0.5,78,0.1
2013,"Manhattan","Asian",795,2,59,11.8,140,0.4
2013,"Manhattan","Black",19556,49.2,87,13.2,2927,7.4
2013,"Manhattan","Hispanic",14584,36.7,169,25.8,2388,6
2013,"Manhattan","Native American",123,0.3,104,0.2,15,0
2013,"Manhattan","White",3908,9.8,307,48.4,881,2.2
2013,"Manhattan","Other",799,2,8,0.6,133,0.3
2013,"Queens","Asian",3849,8.5,247,25.1,530,1.2
2013,"Queens","Black",22809,50.5,161,17.9,2414,5.3
2013,"Queens","Hispanic",13169,29.2,269,28,1857,4.1
2013,"Queens","Native American",351,0.8,3,0,28,0.1
2013,"Queens","White",4519,10,259,27.1,590,1.3
2013,"Queens","Other",448,1,174,1.9,30,0.1
2014,"Bronx","Asian",41,0.6,241,3.8,13,0.2
2014,"Bronx","Black",3305,48.6,185,30,944,13.9
2014,"Bronx","Hispanic",3072,45.2,308,54.8,921,13.6
2014,"Bronx","Native American",16,0.2,183,0.3,1,0
2014,"Bronx","White",209,3.1,26,10.3,50,0.7
2014,"Bronx","Other",154,2.3,352,0.8,52,0.8
2014,"Brooklyn","Asian",339,2.6,129,12,50,0.4
2014,"Brooklyn","Black",8886,67,327,31.7,1301,9.8
2014,"Brooklyn","Hispanic",2574,19.4,230,19.5,440,3.3
2014,"Brooklyn","Native American",23,0.2,139,0.1,1,0
2014,"Brooklyn","White",1274,9.6,351,36.3,181,1.4
2014,"Brooklyn","Other",167,1.3,358,0.4,20,0.2
2014,"Manhattan","Asian",148,2.1,68,11.5,42,0.6
2014,"Manhattan","Black",3617,50.3,85,12.3,1081,15
2014,"Manhattan","Hispanic",2342,32.6,230,29.7,811,11.3
2014,"Manhattan","Native American",14,0.2,66,0.1,3,0
2014,"Manhattan","White",823,11.5,312,45.9,315,4.4
2014,"Manhattan","Other",243,3.4,317,0.5,66,0.9
2014,"Queens","Asian",1677,12.6,249,27.1,167,1.3
2014,"Queens","Black",5941,44.8,167,19,716,5.4
2014,"Queens","Hispanic",3578,27,230,23.4,579,4.4
2014,"Queens","Native American",122,0.9,235,0.2,15,0.1
2014,"Queens","White",1826,13.8,256,28.1,265,2
2014,"Queens","Other",116,0.9,194,2.2,8,0.1
2015,"Bronx","Asian",21,0.4,239,3.7,8,0.2
2015,"Bronx","Black",2423,51.2,190,30.2,815,17.2
2015,"Bronx","Hispanic",1993,42.1,313,55.1,708,15
2015,"Bronx","Native American",12,0.3,127,0.2,3,0.1
2015,"Bronx","White",203,4.3,27,10.3,66,1.4
2015,"Bronx","Other",79,1.7,311,0.5,35,0.7
2015,"Brooklyn","Asian",158,2.5,133,12.3,21,0.3
2015,"Brooklyn","Black",4220,66.7,319,31.1,634,10
2015,"Brooklyn","Hispanic",1224,19.3,231,19.5,281,4.4
2015,"Brooklyn","Native American",10,0.2,217,0.2,0,0
2015,"Brooklyn","White",624,9.9,356,36.5,111,1.8
2015,"Brooklyn","Other",92,1.5,18,0.4,15,0.2
2015,"Manhattan","Asian",81,2.1,83,12.6,29,0.7
2015,"Manhattan","Black",2170,55.7,86,13,552,14.2
2015,"Manhattan","Hispanic",1190,30.5,177,26,357,9.2
2015,"Manhattan","Native American",11,0.3,39,0.1,2,0.1
2015,"Manhattan","White",399,10.2,310,48.1,108,2.8
2015,"Manhattan","Other",47,1.2,234,0.2,11,0.3
2015,"Queens","Asian",817,14.4,252,25.9,105,1.8
2015,"Queens","Black",2238,39.3,164,17.6,367,6.4
2015,"Queens","Hispanic",1736,30.5,270,28,296,5.2
2015,"Queens","Native American",40,0.7,173,0.2,6,0.1
2015,"Queens","White",792,13.9,255,26.2,107,1.9
2015,"Queens","Other",67,1.2,200,2.1,6,0.1
2006,"New York","Asian",13288,2.7,355,11.8,1431,0.3
2006,"New York","Black",260721,53.5,65,23.9,29141,6
2006,"New York","Hispanic",144552,29.7,95,27.9,16541,3.4
2006,"New York","Native American",1818,0.4,20,0.2,180,0
2006,"New York","White",45024,9.2,115,35.1,5186,1.1
2006,"New York","Other",22068,4.5,342,1.1,1635,0.3
2007,"New York","Asian",12901,2.9,357,11.9,1828,0.4
2007,"New York","Black",237313,52.6,69,23.9,32755,7.3
2007,"New York","Hispanic",138031,30.6,72,27.4,19303,4.3
2007,"New York","Native American",1697,0.4,53,0.2,207,0
2007,"New York","White",43456,9.6,116,35.6,6062,1.3
2007,"New York","Other",17567,3.9,297,1,1935,0.4
2008,"New York","Asian",16021,3.2,1,12,1968,0.4
2008,"New York","Black",264287,52.4,70,23.7,33726,6.7
2008,"New York","Hispanic",162011,32.1,73,27.7,21608,4.3
2008,"New York","Native American",1924,0.4,40,0.2,224,0
2008,"New York","White",44391,8.8,117,35.5,5815,1.2
2008,"New York","Other",16035,3.2,294,0.9,1896,0.4
2009,"New York","Asian",16453,3,2,12.1,2156,0.4
2009,"New York","Black",297613,54.3,67,23.4,37158,6.8
2009,"New York","Hispanic",173571,31.7,74,27.6,23059,4.2
2009,"New York","Native American",2181,0.4,24,0.2,272,0
2009,"New York","White",44478,8.1,122,35.9,6000,1.1
2009,"New York","Other",14026,2.6,263,0.8,1578,0.3
2010,"New York","Asian",19388,3.4,4,13,2945,0.5
2010,"New York","Black",303658,53.3,58,23.4,42336,7.4
2010,"New York","Hispanic",183411,32.2,75,28.7,27156,4.8
2010,"New York","Native American",2489,0.4,22,0.2,292,0.1
2010,"New York","White",46078,8.1,108,34,7139,1.3
2010,"New York","Other",14751,2.6,261,0.7,1918,0.3
2011,"New York","Asian",23524,3.6,5,13,2876,0.4
2011,"New York","Black",340581,52.2,61,23.4,40211,6.2
2011,"New York","Hispanic",217725,33.4,76,28.8,26659,4.1
2011,"New York","Native American",2780,0.4,36,0.2,329,0.1
2011,"New York","White",51368,7.9,109,33.9,7550,1.2
2011,"New York","Other",16262,2.5,265,0.7,1729,0.3
2012,"New York","Asian",16743,3.3,7,13.3,2319,0.5
2012,"New York","Black",276013,54.3,62,23.1,29769,5.9
2012,"New York","Hispanic",160831,31.6,77,28.9,19984,3.9
2012,"New York","Native American",2182,0.4,17,0.2,300,0.1
2012,"New York","White",43042,8.5,110,33.5,5741,1.1
2012,"New York","Other",9660,1.9,305,1,872,0.2
2013,"New York","Asian",6748,3.7,10,13.7,923,0.5
2013,"New York","Black",100793,55.4,60,22.9,11329,6.2
2013,"New York","Hispanic",53227,29.2,78,28.9,7619,4.2
2013,"New York","Native American",798,0.4,45,0.2,83,0
2013,"New York","White",17766,9.8,111,33.3,2553,1.4
2013,"New York","Other",2753,1.5,300,1,287,0.2
2014,"New York","Asian",2205,5.4,12,14.1,272,0.7
2014,"New York","Black",21749,53.7,64,22.8,4042,10
2014,"New York","Hispanic",11566,28.6,79,29,2751,6.8
2014,"New York","Native American",175,0.4,35,0.2,20,0
2014,"New York","White",4132,10.2,112,33.1,811,2
2014,"New York","Other",680,1.7,284,0.8,146,0.4
2015,"New York","Asian",1077,5.2,13,14.4,163,0.8
2015,"New York","Black",11051,53.5,63,22.6,2368,11.5
2015,"New York","Hispanic",6143,29.8,80,29.1,1642,8
2015,"New York","Native American",73,0.4,23,0.2,11,0.1
2015,"New York","White",2018,9.8,113,32.9,392,1.9
2015,"New York","Other",285,1.4,288,0.8,67,0.3
